Code,Occupation,Job Zone,Interest1,Interest2,Interest3
51-7032.00,"Patternmakers, Wood",3,Realistic,Investigative,Artistic
49-9063.00,Musical Instrument Repairers and Tuners,3,Realistic,Artistic,Investigative
17-2121.00,Marine Engineers and Naval Architects,4,Investigative,Realistic,Artistic
17-1012.00,Landscape Architects,4,Artistic,Investigative,Realistic
19-3092.00,Geographers,5,Investigative,Realistic,Artistic
19-1042.00,"Medical Scientists, Except Epidemiologists",5,Investigative,Realistic,Artistic
19-1029.02,Molecular and Cellular Biologists,5,Investigative,Realistic,Artistic
19-3091.00,Anthropologists and Archeologists,5,Investigative,Artistic,Realistic
19-2011.00,Astronomers,5,Investigative,Artistic,Realistic
19-1021.00,Biochemists and Biophysicists,5,Investigative,Artistic,Realistic
19-1029.03,Geneticists,5,Investigative,Artistic,Realistic
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,2,Realistic,Social,Investigative
29-2031.00,Cardiovascular Technologists and Technicians,3,Realistic,Investigative,Social
51-9082.00,Medical Appliance Technicians,3,Realistic,Investigative,Social
29-2033.00,Nuclear Medicine Technologists,3,Investigative,Realistic,Social
31-2021.00,Physical Therapist Assistants,3,Social,Realistic,Investigative
29-2032.00,Diagnostic Medical Sonographers,3,Investigative,Social,Realistic
29-1141.01,Acute Care Nurses,3,Social,Investigative,Realistic
29-2051.00,Dietetic Technicians,3,Social,Investigative,Realistic
29-2092.00,Hearing Aid Specialists,3,Social,Investigative,Realistic
29-1126.00,Respiratory Therapists,3,Social,Investigative,Realistic
33-3031.00,Fish and Game Wardens,4,Realistic,Investigative,
29-1141.03,Critical Care Nurses,4,Social,Investigative,Realistic
29-1128.00,Exercise Physiologists,4,Social,Investigative,Realistic
29-1071.01,Anesthesiologist Assistants,5,Realistic,Social,Investigative
29-1022.00,Oral and Maxillofacial Surgeons,5,Realistic,Social,Investigative
29-1211.00,Anesthesiologists,5,Investigative,Realistic,Social
29-1021.00,"Dentists, General",5,Investigative,Realistic,Social
29-1151.00,Nurse Anesthetists,5,Investigative,Realistic,Social
29-1023.00,Orthodontists,5,Investigative,Realistic,Social
29-1224.00,Radiologists,5,Investigative,Realistic,Social
29-1291.00,Acupuncturists,5,Social,Realistic,Investigative
29-9091.00,Athletic Trainers,5,Social,Realistic,Investigative
29-2091.00,Orthotists and Prosthetists,5,Social,Realistic,Investigative
29-1229.01,Allergists and Immunologists,5,Investigative,Social,Realistic
29-1213.00,Dermatologists,5,Investigative,Social,Realistic
29-1216.00,General Internal Medicine Physicians,5,Investigative,Social,Realistic
29-1217.00,Neurologists,5,Investigative,Social,Realistic
29-1218.00,Obstetricians and Gynecologists,5,Investigative,Social,Realistic
29-1241.00,"Ophthalmologists, Except Pediatric",5,Investigative,Social,Realistic
29-1041.00,Optometrists,5,Investigative,Social,Realistic
29-1299.02,Orthoptists,5,Investigative,Social,Realistic
29-1229.04,Physical Medicine and Rehabilitation Physicians,5,Investigative,Social,Realistic
29-1081.00,Podiatrists,5,Investigative,Social,Realistic
29-1229.06,Sports Medicine Physicians,5,Investigative,Social,Realistic
29-1229.03,Urologists,5,Investigative,Social,Realistic
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",5,Social,Investigative,Realistic
25-1052.00,"Chemistry Teachers, Postsecondary",5,Social,Investigative,Realistic
29-1011.00,Chiropractors,5,Social,Investigative,Realistic
25-1032.00,"Engineering Teachers, Postsecondary",5,Social,Investigative,Realistic
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",5,Social,Investigative,Realistic
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",5,Social,Investigative,Realistic
29-1171.00,Nurse Practitioners,5,Social,Investigative,Realistic
29-1123.00,Physical Therapists,5,Social,Investigative,Realistic
29-1071.00,Physician Assistants,5,Social,Investigative,Realistic
29-1229.05,Preventive Medicine Physicians,5,Social,Investigative,Realistic
45-3031.00,Fishing and Hunting Workers,1,Realistic,Investigative,Enterprising
53-2012.00,Commercial Pilots,3,Realistic,Investigative,Enterprising
19-4071.00,Forest and Conservation Technicians,3,Realistic,Investigative,Enterprising
53-6041.00,Traffic Technicians,3,Realistic,Investigative,Enterprising
17-2141.02,Automotive Engineers,4,Realistic,Investigative,
19-1031.00,Conservation Scientists,4,Realistic,Investigative,Enterprising
19-1032.00,Foresters,4,Realistic,Investigative,Enterprising
19-1031.02,Range Managers,4,Realistic,Investigative,Enterprising
17-2199.10,Wind Energy Engineers,4,Realistic,Investigative,Enterprising
17-2021.00,Agricultural Engineers,4,Investigative,Realistic,Enterprising
17-2111.02,Fire-Prevention and Protection Engineers,4,Investigative,Realistic,Enterprising
17-2131.00,Materials Engineers,4,Investigative,Realistic,Enterprising
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",4,Investigative,Realistic,Enterprising
17-2051.02,Water/Wastewater Engineers,4,Investigative,Realistic,Enterprising
41-9031.00,Sales Engineers,4,Enterprising,Realistic,Investigative
17-2141.01,Fuel Cell Engineers,5,Realistic,Investigative,
19-2041.02,Environmental Restoration Planners,5,Investigative,Realistic,Enterprising
17-2199.09,Nanosystems Engineers,5,Investigative,Realistic,Enterprising
11-9041.00,Architectural and Engineering Managers,5,Enterprising,Realistic,Investigative
45-4022.00,Logging Equipment Operators,1,Realistic,Investigative,Conventional
47-5011.00,"Derrick Operators, Oil and Gas",1,Realistic,Conventional,Investigative
51-9081.00,Dental Laboratory Technicians,2,Realistic,Investigative,Conventional
47-5023.00,"Earth Drillers, Except Oil and Gas",2,Realistic,Investigative,Conventional
49-9051.00,Electrical Power-Line Installers and Repairers,2,Realistic,Investigative,Conventional
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",2,Realistic,Investigative,Conventional
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,Realistic,Investigative,Conventional
51-4051.00,Metal-Refining Furnace Operators and Tenders,2,Realistic,Investigative,Conventional
17-3029.01,Non-Destructive Testing Specialists,2,Realistic,Investigative,Conventional
49-3092.00,Recreational Vehicle Service Technicians,2,Realistic,Investigative,Conventional
47-2221.00,Structural Iron and Steel Workers,2,Realistic,Investigative,Conventional
45-2011.00,Agricultural Inspectors,2,Realistic,Conventional,Investigative
49-3091.00,Bicycle Repairers,2,Realistic,Conventional,Investigative
51-8099.01,Biofuels Processing Technicians,2,Realistic,Conventional,Investigative
51-8013.03,Biomass Plant Technicians,2,Realistic,Conventional,Investigative
47-2021.00,Brickmasons and Blockmasons,2,Realistic,Conventional,Investigative
47-2031.00,Carpenters,2,Realistic,Conventional,Investigative
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2,Realistic,Conventional,Investigative
51-2021.00,"Coil Winders, Tapers, and Finishers",2,Realistic,Conventional,Investigative
47-5041.00,Continuous Mining Machine Operators,2,Realistic,Conventional,Investigative
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,2,Realistic,Conventional,Investigative
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",2,Realistic,Conventional,Investigative
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,Realistic,Conventional,Investigative
51-2023.00,Electromechanical Equipment Assemblers,2,Realistic,Conventional,Investigative
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",2,Realistic,Conventional,Investigative
51-2051.00,Fiberglass Laminators and Fabricators,2,Realistic,Conventional,Investigative
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",2,Realistic,Conventional,Investigative
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",2,Realistic,Conventional,Investigative
49-9031.00,Home Appliance Repairers,2,Realistic,Conventional,Investigative
47-2132.00,"Insulation Workers, Mechanical",2,Realistic,Conventional,Investigative
51-4192.00,"Layout Workers, Metal and Plastic",2,Realistic,Conventional,Investigative
31-9093.00,Medical Equipment Preparers,2,Realistic,Conventional,Investigative
49-9044.00,Millwrights,2,Realistic,Conventional,Investigative
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",2,Realistic,Conventional,Investigative
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",2,Realistic,Conventional,Investigative
47-2073.00,Operating Engineers and Other Construction Equipment Operators,2,Realistic,Conventional,Investigative
47-2072.00,Pile Driver Operators,2,Realistic,Conventional,Investigative
53-7072.00,"Pump Operators, Except Wellhead Pumpers",2,Realistic,Conventional,Investigative
49-3043.00,Rail Car Repairers,2,Realistic,Conventional,Investigative
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",2,Realistic,Conventional,Investigative
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",2,Realistic,Conventional,Investigative
47-2171.00,Reinforcing Iron and Rebar Workers,2,Realistic,Conventional,Investigative
49-9096.00,Riggers,2,Realistic,Conventional,Investigative
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",2,Realistic,Conventional,Investigative
51-9141.00,Semiconductor Processing Technicians,2,Realistic,Conventional,Investigative
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2,Realistic,Conventional,Investigative
47-5013.00,"Service Unit Operators, Oil and Gas",2,Realistic,Conventional,Investigative
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",2,Realistic,Conventional,Investigative
51-4121.00,"Welders, Cutters, Solderers, and Brazers",2,Realistic,Conventional,Investigative
53-7073.00,Wellhead Pumpers,2,Realistic,Conventional,Investigative
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",2,Realistic,Conventional,Investigative
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,3,Realistic,Investigative,Conventional
19-4012.00,Agricultural Technicians,3,Realistic,Investigative,Conventional
27-4011.00,Audio and Video Technicians,3,Realistic,Investigative,Conventional
17-3027.01,Automotive Engineering Technicians,3,Realistic,Investigative,Conventional
49-3023.00,Automotive Service Technicians and Mechanics,3,Realistic,Investigative,Conventional
49-2091.00,Avionics Technicians,3,Realistic,Investigative,Conventional
15-1232.00,Computer User Support Specialists,3,Realistic,Investigative,Conventional
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,3,Realistic,Investigative,Conventional
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",3,Realistic,Investigative,Conventional
47-2111.00,Electricians,3,Realistic,Investigative,Conventional
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,3,Realistic,Investigative,Conventional
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",3,Realistic,Investigative,Conventional
47-4021.00,Elevator and Escalator Installers and Repairers,3,Realistic,Investigative,Conventional
31-9099.02,Endoscopy Technicians,3,Realistic,Investigative,Conventional
19-4013.00,Food Science Technicians,3,Realistic,Investigative,Conventional
51-9071.06,Gem and Diamond Workers,3,Realistic,Investigative,
49-9041.00,Industrial Machinery Mechanics,3,Realistic,Investigative,Conventional
29-2012.00,Medical and Clinical Laboratory Technicians,3,Realistic,Investigative,Conventional
49-9062.00,Medical Equipment Repairers,3,Realistic,Investigative,Conventional
51-4061.00,"Model Makers, Metal and Plastic",3,Realistic,Investigative,Conventional
29-2099.01,Neurodiagnostic Technologists,3,Realistic,Investigative,
17-3029.08,Photonics Technicians,3,Realistic,Investigative,Conventional
51-8012.00,Power Distributors and Dispatchers,3,Realistic,Investigative,Conventional
17-3024.01,Robotics Technicians,3,Realistic,Investigative,
51-8021.00,Stationary Engineers and Boiler Operators,3,Realistic,Investigative,Conventional
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",3,Realistic,Investigative,Conventional
51-4111.00,Tool and Die Makers,3,Realistic,Investigative,Conventional
29-2056.00,Veterinary Technologists and Technicians,3,Realistic,Investigative,
49-3011.00,Aircraft Mechanics and Service Technicians,3,Realistic,Conventional,Investigative
53-6051.01,Aviation Inspectors,3,Realistic,Conventional,Investigative
27-4012.00,Broadcast Technicians,3,Realistic,Conventional,Investigative
49-9061.00,Camera and Photographic Equipment Repairers,3,Realistic,Conventional,Investigative
17-3022.00,Civil Engineering Technologists and Technicians,3,Realistic,Conventional,Investigative
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",3,Realistic,Conventional,Investigative
47-4011.00,Construction and Building Inspectors,3,Realistic,Conventional,Investigative
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",3,Realistic,Conventional,Investigative
53-7021.00,Crane and Tower Operators,3,Realistic,Conventional,Investigative
17-3012.00,Electrical and Electronics Drafters,3,Realistic,Conventional,Investigative
39-4011.00,Embalmers,3,Realistic,Conventional,Investigative
49-3041.00,Farm Equipment Mechanics and Service Technicians,3,Realistic,Conventional,Investigative
33-2021.00,Fire Inspectors and Investigators,3,Realistic,Conventional,Investigative
45-4011.00,Forest and Conservation Workers,3,Realistic,Conventional,Investigative
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",3,Realistic,Conventional,Investigative
51-8013.04,Hydroelectric Plant Technicians,3,Realistic,Conventional,Investigative
51-4041.00,Machinists,3,Realistic,Conventional,Investigative
49-9071.00,"Maintenance and Repair Workers, General",3,Realistic,Conventional,Investigative
49-9043.00,"Maintenance Workers, Machinery",3,Realistic,Conventional,Investigative
17-3013.00,Mechanical Drafters,3,Realistic,Conventional,Investigative
49-3051.00,Motorboat Mechanics and Service Technicians,3,Realistic,Conventional,Investigative
19-4051.02,Nuclear Monitoring Technicians,3,Realistic,Conventional,Investigative
19-4051.00,Nuclear Technicians,3,Realistic,Conventional,Investigative
51-4062.00,"Patternmakers, Metal and Plastic",3,Realistic,Conventional,Investigative
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",3,Realistic,Conventional,Investigative
49-9064.00,Watch and Clock Repairers,3,Realistic,Conventional,Investigative
19-4031.00,Chemical Technicians,3,Investigative,Realistic,Conventional
13-1041.06,Coroners,3,Investigative,Realistic,Conventional
17-3026.00,Industrial Engineering Technologists and Technicians,3,Investigative,Realistic,Conventional
29-2099.05,Ophthalmic Medical Technologists,3,Conventional,Realistic,Investigative
31-9097.00,Phlebotomists,3,Conventional,Realistic,Investigative
33-3021.02,Police Identification and Records Officers,3,Conventional,Realistic,Investigative
17-3031.00,Surveying and Mapping Technicians,3,Conventional,Realistic,Investigative
51-9162.00,Computer Numerically Controlled Tool Programmers,3,Conventional,Investigative,Realistic
19-4099.01,Quality Control Analysts,3,Conventional,Investigative,Realistic
15-1254.00,Web Developers,3,Conventional,Investigative,Realistic
19-4021.00,Biological Technicians,4,Realistic,Investigative,Conventional
17-1021.00,Cartographers and Photogrammetrists,4,Realistic,Investigative,Conventional
17-2051.00,Civil Engineers,4,Realistic,Investigative,Conventional
17-3025.00,Environmental Engineering Technologists and Technicians,4,Realistic,Investigative,Conventional
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",4,Realistic,Investigative,Conventional
17-2112.03,Manufacturing Engineers,4,Realistic,Investigative,
19-4012.01,Precision Agriculture Technicians,4,Realistic,Investigative,Conventional
17-2072.01,Radio Frequency Identification Device Specialists,4,Realistic,Investigative,Conventional
19-4099.03,Remote Sensing Technicians,4,Realistic,Investigative,Conventional
17-2051.01,Transportation Engineers,4,Realistic,Investigative,
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",4,Realistic,Conventional,Investigative
17-3026.01,Nanotechnology Engineering Technologists and Technicians,4,Realistic,Conventional,Investigative
17-1022.00,Surveyors,4,Realistic,Conventional,Investigative
15-2099.01,Bioinformatics Technicians,4,Investigative,Realistic,Conventional
19-2031.00,Chemists,4,Investigative,Realistic,Conventional
17-2061.00,Computer Hardware Engineers,4,Investigative,Realistic,Conventional
15-1299.08,Computer Systems Engineers/Architects,4,Investigative,Realistic,Conventional
29-2011.01,Cytogenetic Technologists,4,Investigative,Realistic,Conventional
17-2081.00,Environmental Engineers,4,Investigative,Realistic,Conventional
19-4042.00,"Environmental Science and Protection Technicians, Including Health",4,Investigative,Realistic,Conventional
19-2041.00,"Environmental Scientists and Specialists, Including Health",4,Investigative,Realistic,Conventional
19-1012.00,Food Scientists and Technologists,4,Investigative,Realistic,Conventional
19-4092.00,Forensic Science Technicians,4,Investigative,Realistic,Conventional
15-1299.02,Geographic Information Systems Technologists and Technicians,4,Investigative,Realistic,Conventional
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",4,Investigative,Realistic,Conventional
17-2141.00,Mechanical Engineers,4,Investigative,Realistic,Conventional
17-2199.05,Mechatronics Engineers,4,Investigative,Realistic,Conventional
29-2011.00,Medical and Clinical Laboratory Technologists,4,Investigative,Realistic,Conventional
15-1244.00,Network and Computer Systems Administrators,4,Investigative,Realistic,Conventional
17-2161.00,Nuclear Engineers,4,Investigative,Realistic,Conventional
17-2171.00,Petroleum Engineers,4,Investigative,Realistic,Conventional
17-2199.07,Photonics Engineers,4,Investigative,Realistic,Conventional
17-2199.08,Robotics Engineers,4,Investigative,Realistic,Conventional
17-2112.02,Validation Engineers,4,Investigative,Realistic,Conventional
15-1211.00,Computer Systems Analysts,4,Investigative,Conventional,Realistic
17-1022.01,Geodetic Surveyors,4,Investigative,Conventional,Realistic
13-1081.01,Logistics Engineers,4,Investigative,Conventional,Realistic
15-1253.00,Software Quality Assurance Analysts and Testers,4,Investigative,Conventional,Realistic
19-3099.01,Transportation Planners,4,Investigative,Conventional,Realistic
13-1041.01,Environmental Compliance Inspectors,4,Conventional,Investigative,Realistic
15-1212.00,Information Security Analysts,4,Conventional,Investigative,Realistic
19-2099.01,Remote Sensing Scientists and Technologists,5,Realistic,Investigative,
15-1221.00,Computer and Information Research Scientists,5,Investigative,Realistic,Conventional
17-2199.06,Microsystems Engineers,5,Investigative,Realistic,Conventional
19-1029.01,Bioinformatics Scientists,5,Investigative,Conventional,Realistic
19-1031.03,Park Naturalists,4,Social,Realistic,Artistic
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",2,Realistic,Artistic,Enterprising
27-1023.00,Floral Designers,2,Artistic,Enterprising,Realistic
41-9012.00,Models,2,Artistic,Enterprising,Realistic
27-1012.00,Craft Artists,3,Artistic,Realistic,Enterprising
35-1011.00,Chefs and Head Cooks,3,Enterprising,Realistic,Artistic
27-1022.00,Fashion Designers,3,Artistic,Enterprising,Realistic
27-1026.00,Merchandise Displayers and Window Trimmers,3,Artistic,Enterprising,Realistic
27-1024.00,Graphic Designers,4,Artistic,Realistic,Enterprising
27-1021.00,Commercial and Industrial Designers,4,Artistic,Enterprising,Realistic
51-7021.00,Furniture Finishers,2,Realistic,Artistic,
51-6051.00,"Sewers, Hand",2,Realistic,Artistic,Conventional
51-9195.03,"Stone Cutters and Carvers, Manufacturing",2,Realistic,Artistic,
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",2,Realistic,Conventional,Artistic
51-6041.00,Shoe and Leather Workers and Repairers,2,Realistic,Conventional,Artistic
47-2044.00,Tile and Stone Setters,2,Realistic,Conventional,Artistic
27-4031.00,"Camera Operators, Television, Video, and Film",3,Realistic,Artistic,
51-6092.00,Fabric and Apparel Patternmakers,3,Realistic,Artistic,Conventional
51-9071.00,Jewelers and Precious Stone and Metal Workers,3,Realistic,Artistic,Conventional
51-7031.00,"Model Makers, Wood",3,Realistic,Artistic,Conventional
51-9195.05,"Potters, Manufacturing",3,Realistic,Artistic,
27-4014.00,Sound Engineering Technicians,3,Realistic,Artistic,
17-3011.00,Architectural and Civil Drafters,3,Realistic,Conventional,Artistic
35-2013.00,"Cooks, Private Household",3,Artistic,Realistic,Conventional
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",2,Realistic,Social,
53-3052.00,"Bus Drivers, Transit and Intercity",2,Realistic,Social,
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2,Realistic,Social,
53-6061.00,Passenger Attendants,2,Realistic,Social,Enterprising
39-5092.00,Manicurists and Pedicurists,2,Realistic,Enterprising,Social
35-3041.00,"Food Servers, Nonrestaurant",2,Social,Realistic,Enterprising
13-1074.00,Farm Labor Contractors,2,Enterprising,Realistic,Social
